Refseq_ID	HMT-ID	Species	Strain	Genbank/PROKKA-ID	Satus	Prefer-habitat
81531021	HMT-815	Methanobrevibacter oralis	Strain: DSM 7256	PROKKA: SEQF3102_01675	Named	Oral
81526711	HMT-815	Methanobrevibacter oralis	Strain: JMR01	PROKKA: SEQF2671_02310	Named	Oral
81531031	HMT-815	Methanobrevibacter oralis	Strain: M2 CSUR P5920	PROKKA: SEQF3103_01149	Named	Oral
875_CN01	HMT-875	Absconditabacteria (SR1) [G-1] (SR1) [G-1] bacterium HMT 875	Clone: CN01	GB: JX294356	Phylotype	Oral
345_X112	HMT-345	Absconditabacteria (SR1) [G-1] (SR1) [G-1] bacterium HMT 345	Clone: _X112	GB: AF125207	Phylotype	Oral
874_4Y03	HMT-874	Absconditabacteria (SR1) [G-1] (SR1) [G-1] bacterium HMT 874	Clone: 4Y03	GB: JX294355	Phylotype	Oral
873_4Q04	HMT-873	Gracilibacteria (GN02) [G-2] (GN02) [G-2] bacterium HMT 873	Clone: 4Q04	GB: JX294354	Phylotype	Oral
99627241	HMT-996	Gracilibacteria (GN02) [G-3] (GN02) [G-3] bacterium HMT 996	Strain: JGI 0000069-P22	PROKKA: SEQF2724_00347	NonOralRef	NonOralRef
871_4L02	HMT-871	Gracilibacteria (GN02) [G-1] (GN02) [G-1] bacterium HMT 871	Clone: 4L02	GB: JX294352	Phylotype	Oral
872_CN02	HMT-872	Gracilibacteria (GN02) [G-1] (GN02) [G-1] bacterium HMT 872	Clone: CN02	GB: JX294353	Phylotype	Oral
812_8157	HMT-812	Helicobacter pylori	Strain: ATCC 43504	GB: M88157	Named	Unassigned
842_4321	HMT-842	Campylobacter ureolyticus	Strain: ATCC 33387	GB: L04321	Named	Unassigned
776_2768	HMT-776	Campylobacter sputorum	Strain: BU-112B	GB: AF022768	Named	Unassigned
044BB120	HMT-044	Campylobacter sp. HMT 044	Clone: BB120	GB: AY005038	Phylotype	Oral
623_4320	HMT-623	Campylobacter gracilis	Strain: ATCC 33236	GB: L04320	Named	Oral
575_6977	HMT-575	Campylobacter concisus	Strain: FDC 288	GB: L06977	Named	Oral
580_C10	HMT-580	Campylobacter curvus	Strain: Goto C10	GB: tbd	Named	Oral
580_4313	HMT-580	Campylobacter curvus	Strain: ATCC 35224	GB: L04313	Named	Oral
763_6974	HMT-763	Campylobacter showae	Strain: CCUG 3054	GB: L06974	Named	Oral
748_4317	HMT-748	Campylobacter rectus	Strain: ATCC 33238	GB: L04317	Named	Oral
748_6973	HMT-748	Campylobacter rectus	Strain: CCUG 19168	GB: L06973	Named	Oral
356_1416	HMT-356	Saccharibacteria (TM7) [G-5] (TM7) [G-5] bacterium HMT 356	Clone: P4PB_40	GB: AY331416	Phylotype	Oral
356_I025	HMT-356	Saccharibacteria (TM7) [G-5] (TM7) [G-5] bacterium HMT 356	Clone: _I025	GB: AF125206	Phylotype	Oral
870_4W45	HMT-870	Saccharibacteria (TM7) [G-6] (TM7) [G-6] bacterium HMT 870	Clone: 4W45	GB: KM018322	Phylotype	Oral
355_F061	HMT-355	Saccharibacteria (TM7) [G-4] (TM7) [G-4] bacterium HMT 355	Clone: _F061	GB: AF125205	Phylotype	Oral
351CW040	HMT-351	Saccharibacteria (TM7) [G-3] (TM7) [G-3] bacterium HMT 351	Clone: CW040	GB: AF385506	Phylotype	Oral
350BU080	HMT-350	Saccharibacteria (TM7) [G-2] (TM7) [G-2] bacterium HMT 350	Clone: BU080	GB: AF385568	Phylotype	Oral
347BE109	HMT-347	Saccharibacteria (TM7) [G-1] (TM7) [G-1] bacterium HMT 347	Clone: BE109	GB: AY005446	Phylotype	Oral
98727221	HMT-987	Saccharibacteria (TM7) [G-7] (TM7) [G-7] bacterium HMT 987	Strain: GTL1	PROKKA: SEQF2722_00264	NonOralRef	NonOralRef
954_9972	HMT-954	Saccharibacteria (TM7) [G-7] (TM7) [G-7] bacterium HMT 954	Clone: ncd263e08c1	GB: JF229972	Phylotype	Oral
98627231	HMT-986	Saccharibacteria (TM7) [G-7] (TM7) [G-7] bacterium HMT 986	Strain: JGI 0001002-L20	PROKKA: SEQF2723_00238	NonOralRef	NonOralRef
98927371	HMT-989	Saccharibacteria (TM7) [G-7] (TM7) [G-7] bacterium HMT 989	Strain: RAAC3_TM7_1	PROKKA: SEQF2737_00500	NonOralRef	NonOralRef
955PM004	HMT-955	Saccharibacteria (TM7) [G-8] (TM7) [G-8] bacterium HMT 955	Strain: PM004	GB: tbd	Unnamed	Oral
98827211	HMT-988	Candidatus Saccharimonas Saccharimonas aalborgensis	Strain: 	PROKKA: SEQF2721_00729	NonOralRef	NonOralRef
349BS003	HMT-349	Saccharibacteria (TM7) [G-1] (TM7) [G-1] bacterium HMT 349	Clone: BS003	GB: AY005448	Phylotype	Oral
869_4W02	HMT-869	Saccharibacteria (TM7) [G-1] (TM7) [G-1] bacterium HMT 869	Clone: 4W02	GB: KM018321	Phylotype	Oral
346AH040	HMT-346	Saccharibacteria (TM7) [G-1] (TM7) [G-1] bacterium HMT 346	Clone: AH040	GB: AF125204	Phylotype	Oral
348BN036	HMT-348	Saccharibacteria (TM7) [G-1] (TM7) [G-1] bacterium HMT 348	Clone: BN036	GB: GQ422738	Phylotype	Oral
352DR034	HMT-352	Saccharibacteria (TM7) [G-1] (TM7) [G-1] bacterium HMT 352	Clone: DR034	GB: AF385520	Phylotype	Oral
95731001	HMT-957	Saccharibacteria (TM7) [G-1] (TM7) [G-1] bacterium HMT 957	Strain: BB001	PROKKA: SEQF3100_00133	Unnamed	Oral
952-TM7x	HMT-952	Saccharibacteria (TM7) [G-1] (TM7) [G-1] bacterium HMT 952	Strain: TM7x	GB: tbd	Unnamed	Oral
488HD027	HMT-488	Saccharibacteria (TM7) [G-1] (TM7) [G-1] bacterium HMT 488	Clone: HD027	GB: AY349415	Phylotype	Oral
98427181	HMT-984	Chlorobium limicola	Strain: DSM 245	PROKKA: SEQF2718_00110	NonOralRef	NonOralRef
98427182	HMT-984	Chlorobium limicola	Strain: DSM 245	PROKKA: SEQF2718_00152	NonOralRef	NonOralRef
98227191	HMT-982	Ignavibacterium album	Strain: JCM 16511	PROKKA: SEQF2719_00714	NonOralRef	NonOralRef
98327201	HMT-983	Melioribacter roseus	Strain: P3M-2	PROKKA: SEQF2720_01862	NonOralRef	NonOralRef
320AZ105	HMT-320	Flavitalea sp. HMT 320	Clone: AZ105	GB: AF385548	Phylotype	Unassigned
261N123A	HMT-261	Segetibacter aerophilus	Strain: NBRC 106135	GB: NR_114296	Named	Unassigned
261N123B	HMT-261	Segetibacter aerophilus	Strain: ncd790f01c1	GB: HM296397	Named	Unassigned
318AV100	HMT-318	Pedobacter sp. HMT 318	Clone: AV100	GB: AF385531	Phylotype	Unassigned
321AZ123	HMT-321	Pedobacter sp. HMT 321	Clone: AZ123	GB: AF385549	Phylotype	Unassigned
933_3217	HMT-933	Pedobacter sp. HMT 933	Clone: nbu291f04c1	GB: GQ023217	Phylotype	Unassigned
422_0564	HMT-422	Bergeyella sp. HMT 422	Clone: ncd369e02c1	GB: HM320564	Phylotype	Unassigned
422_8614	HMT-422	Bergeyella sp. HMT 422	Clone: C4MKM119	GB: AY278614	Phylotype	Unassigned
319AY017	HMT-319	Bergeyella sp. HMT 319	Clone: AY017	GB: AF385544	Phylotype	Unassigned
931_7552	HMT-931	Bergeyella sp. HMT 931	Clone: 069063_075	GB: JQ447552	Phylotype	Oral
206N109B	HMT-206	Bergeyella sp. HMT 206	Clone: 3P2-77	GB: EF419382	Phylotype	Unassigned
322AK152	HMT-322	Bergeyella sp. HMT 322	Clone: AK152	GB: AY008691	Phylotype	Oral
900-Wade	HMT-900	Bergeyella sp. HMT 900	Clone: HS1_1W_C3	GB: KC203058	Phylotype	Oral
907-Wade	HMT-907	Bergeyella sp. HMT 907	Clone: BL190	GB: JQ406533	Phylotype	Oral
338Capn8	HMT-338	Capnocytophaga sp. HMT 338	Strain: FDC 8	GB: U41352	Unnamed	Oral
863F0517	HMT-863	Capnocytophaga sp. HMT 863	Strain: F0517	GB: tbd	Unnamed	Oral
325_1347	HMT-325	Capnocytophaga granulosa	Strain: LMG 16022	GB: U41347	Named	Oral
325AH015	HMT-325	Capnocytophaga granulosa	Clone: AH015	GB: AY005074	Named	Oral
337-S3	HMT-337	Capnocytophaga gingivalis	Strain: S3	GB: AY005073	Named	Oral
337_7608	HMT-337	Capnocytophaga gingivalis	Strain: ATCC 33624	GB: X67608	Named	Oral
627_1748	HMT-627	Capnocytophaga haemolytica	Clone: 069086_014	GB: JQ451748	Named	Oral
627_1349	HMT-627	Capnocytophaga haemolytica	Strain: JCM 8565	GB: U41349	Named	Oral
332DS022	HMT-332	Capnocytophaga sp. HMT 332	Clone: DS022	GB: AF366270	Unnamed	Oral
901-Wade	HMT-901	Capnocytophaga sp. HMT 901	Clone: BL218	GB: JQ406535	Phylotype	Unassigned
775_4920	HMT-775	Capnocytophaga sputigena	Clone: 071064_219	GB: JQ474920	Named	Oral
775_7609	HMT-775	Capnocytophaga sputigena	Strain: ATCC 33612	GB: X67609	Named	Oral
329BM058	HMT-329	Capnocytophaga leadbetteri	Clone: BM058	GB: AY005075	Named	Oral
329BU084	HMT-329	Capnocytophaga leadbetteri	Clone: BU084	GB: AF385569	Named	Oral
329BR085	HMT-329	Capnocytophaga leadbetteri	Clone: BR085	GB: GU350453	Named	Oral
878F0545	HMT-878	Capnocytophaga sp. HMT 878	Strain: F0545	GB: tbd	Unnamed	Oral
326F0382	HMT-326	Capnocytophaga sp. HMT 326	Strain: F0382	GB: tbd	Unnamed	Oral
380F0488	HMT-380	Capnocytophaga sp. HMT 380	Strain: F0488	GB: tbd	Unnamed	Oral
903-Wade	HMT-903	Capnocytophaga sp. HMT 903	Clone: HS5_2W_I24	GB: KC203061	Phylotype	Oral
700_4635	HMT-700	Capnocytophaga ochracea	Strain: ATCC 33596	GB: L14635	Named	Oral
324AA032	HMT-324	Capnocytophaga sp. HMT 324	Clone: AA032	GB: AY005079	Unnamed	Oral
336F0502	HMT-336	Capnocytophaga sp. HMT 336	Strain: F0502	GB: tbd	Unnamed	Oral
336_2363	HMT-336	Capnocytophaga sp. HMT 336	Clone: 070035_613	GB: JQ462363	Unnamed	Oral
336_X089	HMT-336	Capnocytophaga sp. HMT 336	Clone: _X089	GB: AY005080	Unnamed	Oral
902-Wade	HMT-902	Capnocytophaga sp. HMT 902	Clone: FL163	GB: JQ406542	Phylotype	Oral
864F0512	HMT-864	Capnocytophaga sp. HMT 864	Strain: F0512	GB: tbd	Unnamed	Oral
864_1335	HMT-864	Capnocytophaga sp. HMT 864	Clone: GEJ8	GB: GU561335	Unnamed	Oral
335_4775	HMT-335	Capnocytophaga sp. HMT 335	Clone: 069096_232	GB: JQ454775	Unnamed	Oral
335_X066	HMT-335	Capnocytophaga sp. HMT 335	Clone: _X066	GB: AY005078	Unnamed	Oral
334EL043	HMT-334	Capnocytophaga sp. HMT 334	Clone: EL043	GB: AY008312	Phylotype	Unassigned
412F0487	HMT-412	Capnocytophaga sp. HMT 412	Strain: F0487	GB: tbd	Unnamed	Oral
412_8613	HMT-412	Capnocytophaga sp. HMT 412	Clone: C2MKM106	GB: AY278613	Unnamed	Oral
323_2733	HMT-323	Capnocytophaga sp. HMT 323	Clone: 071057_454	GB: JQ472733	Unnamed	Oral
516_3623	HMT-516	Bacteroidetes [G-6] [G-6] bacterium HMT 516	Clone: MB3_P19	GB: DQ003623	Phylotype	Oral
509_3619	HMT-509	Bacteroidetes [G-4] [G-4] bacterium HMT 509	Clone: MB2_P04	GB: DQ003619	Phylotype	Unassigned
507_3617	HMT-507	Bacteroidetes [G-5] [G-5] bacterium HMT 507	Clone: MB2_G17	GB: DQ003617	Phylotype	Oral
505_3615	HMT-505	Bacteroidetes [G-5] [G-5] bacterium HMT 505	Clone: MB1_G34	GB: DQ003615	Phylotype	Oral
511_3634	HMT-511	Bacteroidetes [G-5] [G-5] bacterium HMT 511	Clone: MB3_C19	GB: DQ003634	Phylotype	Oral
503_3613	HMT-503	Bacteroidetes [G-3] [G-3] bacterium HMT 503	Clone: MB1_G13	GB: DQ003613	Phylotype	Oral
899-Wade	HMT-899	Bacteroidetes [G-3] [G-3] bacterium HMT 899	Clone: BL234	GB: JQ406536	Phylotype	Unassigned
280DA064	HMT-280	Bacteroidetes [G-3] [G-3] bacterium HMT 280	Clone: DA064	GB: AY005071	Phylotype	Oral
436_1819	HMT-436	Bacteroidetes [G-3] [G-3] bacterium HMT 436	Clone: P4PB_6	GB: AY341819	Phylotype	Unassigned
365_7777	HMT-365	Bacteroidetes [G-3] [G-3] bacterium HMT 365	Clone: 071074_079	GB: JQ477777	Phylotype	Oral
365_3626	HMT-365	Bacteroidetes [G-3] [G-3] bacterium HMT 365	Clone: MB4_G15	GB: DQ003626	Phylotype	Oral
281DA065	HMT-281	Bacteroidetes [G-3] [G-3] bacterium HMT 281	Clone: DA065	GB: AY005070	Phylotype	Oral
911-Wade	HMT-911	Bacteroidetes [G-7] [G-7] bacterium HMT 911	Clone: DL325	GB: JQ406540	Phylotype	Unassigned
274_8173	HMT-274	Bacteroidales [G-2] [G-2] bacterium HMT 274	Clone: 071040_120	GB: JQ468173	Unnamed	Oral
274AU126	HMT-274	Bacteroidales [G-2] [G-2] bacterium HMT 274	Clone: AU126	GB: AY005072	Unnamed	Oral
613_6495	HMT-613	Tannerella forsythia	Strain: FDC 338	GB: L16495	Named	Oral
286BU063	HMT-286	Tannerella sp. HMT 286	Clone: BU063	GB: AY008308	Unnamed	Oral
916-Wade	HMT-916	Tannerella sp. HMT 916	Clone: CP6_C2	GB: KC203065	Phylotype	Oral
808BU045	HMT-808	Tannerella sp. HMT 808	Clone: BU045	GB: AF385565	Phylotype	Oral
619_3964	HMT-619	Porphyromonas gingivalis	Strain: DSM 20709	GB: X73964	Named	Oral
547_6490	HMT-547	Porphyromonas asaccharolytica	Strain: ATCC 25260	GB: L16490	Named	Unassigned
785F0120	HMT-785	Porphyromonas uenonis	Strain: F0120	GB: GQ422746	Named	Unassigned
785_3091	HMT-785	Porphyromonas uenonis	Strain: JCM 13868	GB: NR_113091	Named	Unassigned
285_F016	HMT-285	Porphyromonas sp. HMT 285	Clone: _F016	GB: AY005069	Phylotype	Oral
273_6491	HMT-273	Porphyromonas endodontalis	Strain: ATCC 35406	GB: L16491	Named	Oral
273AJ002	HMT-273	Porphyromonas endodontalis	Clone: AJ002	GB: AY005067	Named	Oral
273_7054	HMT-273	Porphyromonas endodontalis	Clone: P2PB_52	GB: AY207054	Named	Oral
273BB134	HMT-273	Porphyromonas endodontalis	Clone: BB134	GB: AY005068	Named	Oral
930_8499	HMT-930	Porphyromonas sp. HMT 930	Clone: 071041_260	GB: JQ468499	Phylotype	Oral
279F450b	HMT-279	Porphyromonas pasteri	Strain: F0450b	GB: tbd	Named	Oral
